question,entity,easting,northing,wikipedia,const
https://id.parliament.uk/wne3Q3kQ,West_Midlands_(region),382689.369763617,286801.459728324,https://en.wikipedia.org/wiki/West_Midlands_(region),South Staffordshire
https://id.parliament.uk/Q0uNVDhz,Slough,498082.779241162,179773.798368362,https://en.wikipedia.org/wiki/Slough,Slough
https://id.parliament.uk/oHeIeP9G,River_Tees,455114.463816201,528466.39069193,https://en.wikipedia.org/wiki/River_Tees,Redcar
https://id.parliament.uk/W7K6780e,Hounslow,512974.190267233,175455.283371097,https://en.wikipedia.org/wiki/Hounslow,Feltham and Heston
https://id.parliament.uk/e9R3Yc8s,Buckingham_(UK_Parliament_constituency),469572.352086751,233989.735821984,https://en.wikipedia.org/wiki/Buckingham_(UK_Parliament_constituency),Buckingham
https://id.parliament.uk/e9R3Yc8s,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/nICBNPdP,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/nICBNPdP,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/6MW5a7w0,Charing_Cross,530046.376257163,180369.418764533,https://en.wikipedia.org/wiki/Charing_Cross,Cities of London and Westminster
https://id.parliament.uk/DHTvSDXM,Liverpool_Walton_(UK_Parliament_constituency),335872.893721167,394906.107310777,https://en.wikipedia.org/wiki/Liverpool_Walton_(UK_Parliament_constituency),Liverpool Walton
https://id.parliament.uk/ZsCeYrV1,Feltham,510661.075696026,173490.835934284,https://en.wikipedia.org/wiki/Feltham,Feltham and Heston
https://id.parliament.uk/ZsCeYrV1,Heston,512664.945686838,177495.62797663,https://en.wikipedia.org/wiki/Heston,Feltham and Heston
https://id.parliament.uk/ixtKWKQU,Dulwich,533671.670531727,173608.682939607,https://en.wikipedia.org/wiki/Dulwich,Dulwich and West Norwood
https://id.parliament.uk/ixtKWKQU,West_Norwood,532499.946387663,171499.97491085,https://en.wikipedia.org/wiki/West_Norwood,Dulwich and West Norwood
