,question,entity,easting,northing,wikipedia
0,https://id.parliament.uk/32D4KCWL,Cambridgeshire,536372.951668183,272465.472673855,https://en.wikipedia.org/wiki/Cambridgeshire
1,https://id.parliament.uk/rR6fI8rb,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
2,https://id.parliament.uk/rR6fI8rb,11_Downing_Street,530051.23676842,179935.120979539,https://en.wikipedia.org/wiki/11_Downing_Street
3,https://id.parliament.uk/fEYgRIu8,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
4,https://id.parliament.uk/wkMoaqbq,Hove,528552.041993163,105548.472750481,https://en.wikipedia.org/wiki/Hove
5,https://id.parliament.uk/JWDvjDZp,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
6,https://id.parliament.uk/JWDvjDZp,National_Audit_Office_(United_Kingdom),528636.731140711,178585.424107546,https://en.wikipedia.org/wiki/National_Audit_Office_(United_Kingdom)
7,https://id.parliament.uk/d3jKICmy,Glasgow,259277.195780932,665392.362459607,https://en.wikipedia.org/wiki/Glasgow
8,https://id.parliament.uk/Ngc4zzGk,Northwood_Headquarters,510212.662552083,192378.008114973,https://en.wikipedia.org/wiki/Northwood_Headquarters
9,https://id.parliament.uk/kgfzYCsy,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
10,https://id.parliament.uk/Lsny7Eet,Gloucestershire,388612.224261281,214982.225963461,https://en.wikipedia.org/wiki/Gloucestershire
11,https://id.parliament.uk/YcOsEKDJ,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police
12,https://id.parliament.uk/2BwnVT0A,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
13,https://id.parliament.uk/qfAgmHQ8,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police
14,https://id.parliament.uk/gJtlprSQ,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police
15,https://id.parliament.uk/DzO0o3D2,HM_Treasury,530040.731278165,179745.509299765,https://en.wikipedia.org/wiki/HM_Treasury
16,https://id.parliament.uk/iTxJSVdb,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
17,https://id.parliament.uk/FLCIexUz,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
18,https://id.parliament.uk/D3Sxnq8B,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England
19,https://id.parliament.uk/IwQ6vcGP,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
20,https://id.parliament.uk/l1JY8shd,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
21,https://id.parliament.uk/qrB51gdX,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
22,https://id.parliament.uk/gqIXi7ck,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
23,https://id.parliament.uk/gqIXi7ck,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
24,https://id.parliament.uk/9YLghZGn,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
25,https://id.parliament.uk/VcE7rwrH,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police
